result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time
BE_WIN,0.0,12,False,127.69,127.69,SOL/USDT,SELL,trend,2.16,2026-01-21 11:00:00
LOSS,-1.0,2,False,118.01,118.48501359434887,SOL/USDT,SELL,trend,1.68,2026-01-31 02:00:00
BE_WIN,0.0,15,False,104.07,104.07,SOL/USDT,SELL,trend,5.96,2026-02-03 00:00:00
BE_WIN,1.74,52,False,103.09,99.2917369196131,SOL/USDT,SELL,trend,3.04,2026-02-03 06:00:00
BE_WIN,0.0,67,False,87.71,87.71,SOL/USDT,SELL,trend,3.79,2026-02-06 23:15:00
LOSS,-1.0,65,False,76.24,78.70543155124085,SOL/USDT,SELL,trend,3.53,2026-02-24 04:00:00
LOSS,-1.0,162,False,95.2,92.17991525133833,SOL/USDT,BUY,trend,3.61,2026-03-16 19:00:00
BE_WIN,0.82,19,False,156.936,155.69643063901137,AAVE/USDT,SELL,trend,2.11,2026-01-21 08:15:00
BE_WIN,1.47,39,False,128.772,126.00315914072887,AAVE/USDT,SELL,trend,6.97,2026-02-01 05:00:00
BE_WIN,0.0,7,False,125.355,125.355,AAVE/USDT,SELL,trend,3.59,2026-02-02 04:45:00
BE_WIN,1.43,102,False,128.437,124.36711619891253,AAVE/USDT,SELL,trend,2.81,2026-02-02 17:30:00
BE_WIN,0.0,11,False,114.202,114.202,AAVE/USDT,SELL,trend,7.77,2026-02-06 23:00:00
BE_WIN,1.36,10,False,114.945,112.89363598722116,AAVE/USDT,SELL,trend,15.06,2026-02-07 04:30:00
LOSS,-1.0,32,False,106.493,110.23481625202886,AAVE/USDT,SELL,trend,3.81,2026-02-11 06:00:00
BE_WIN,1.29,7,False,125.406,126.33509902941192,AAVE/USDT,BUY,trend,4.68,2026-02-16 05:45:00
BE_WIN,0.0,60,False,2.5854,2.5854,ATOM/USDT,BUY,trend,2.38,2026-01-11 01:15:00
LOSS,-1.0,12,False,2.5729,2.5459152570839754,ATOM/USDT,BUY,trend,2.55,2026-01-12 14:15:00
BE_WIN,0.0,63,False,1.7626,1.7626,ATOM/USDT,SELL,trend,4.67,2026-03-08 04:45:00
BE_WIN,0.0,30,False,711.17,711.17,XMR/USDT,BUY,trend,3.74,2026-01-15 07:15:00
WIN,2.15,115,True,622.21,554.16,XMR/USDT,SELL,trend,2.01,2026-01-16 23:30:00
LOSS,-1.0,26,False,589.58,606.6015456249976,XMR/USDT,SELL,trend,2.08,2026-01-18 14:15:00
