result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time
BE_WIN,3.17,18,True,136.52,137.76809363948558,SOL/USDT,BUY,range,3.08,2026-01-11 10:00:00
LOSS,-1.0,1,False,144.22,143.96780041739632,SOL/USDT,BUY,range,2.7,2026-01-17 05:30:00
BE_WIN,0.0,2,False,143.79,143.79,SOL/USDT,BUY,range,1.74,2026-01-17 11:00:00
BE_WIN,0.0,8,True,143.81,143.81,SOL/USDT,BUY,range,1.6,2026-01-17 13:00:00
BE_WIN,0.0,12,False,127.69,127.69,SOL/USDT,SELL,trend,2.16,2026-01-21 11:00:00
BE_WIN,0.0,21,False,115.98,115.98,SOL/USDT,BUY,bounce,4.97,2026-01-30 09:30:00
LOSS,-1.0,88,False,116.88,114.21668958932125,SOL/USDT,BUY,bounce,2.47,2026-01-30 15:30:00
BE_WIN,0.0,15,False,104.07,104.07,SOL/USDT,SELL,trend,5.96,2026-02-03 00:00:00
BE_WIN,1.74,52,False,103.09,99.2917369196131,SOL/USDT,SELL,trend,3.04,2026-02-03 06:00:00
BE_WIN,0.0,67,False,87.71,87.71,SOL/USDT,SELL,trend,3.79,2026-02-06 23:15:00
BE_WIN,0.0,12,False,87.61,87.61,SOL/USDT,SELL,range,4.39,2026-02-08 20:00:00
BE_WIN,0.0,1,False,86.99,86.99,SOL/USDT,SELL,range,6.32,2026-02-08 23:45:00
LOSS,-1.0,1,False,85.95,85.68627401415952,SOL/USDT,BUY,range,10.43,2026-02-10 05:45:00
LOSS,-1.0,4,False,84.78,84.36494067639057,SOL/USDT,BUY,range,9.44,2026-02-10 07:15:00
BE_WIN,0.0,2,False,84.29,84.29,SOL/USDT,BUY,range,21.62,2026-02-10 11:00:00
LOSS,-1.0,35,False,80.82,79.38769250255001,SOL/USDT,BUY,bounce,5.5,2026-02-12 07:15:00
LOSS,-1.0,1,False,85.94,85.72417367928938,SOL/USDT,BUY,range,4.54,2026-02-17 09:45:00
BE_WIN,0.0,3,False,85.12,85.12,SOL/USDT,BUY,range,1.53,2026-02-17 11:15:00
LOSS,-1.0,4,False,85.17,85.37656137281796,SOL/USDT,SELL,range,4.79,2026-02-21 12:00:00
LOSS,-1.0,1,False,86.31,86.51629110194523,SOL/USDT,SELL,range,2.62,2026-02-21 14:45:00
BE_WIN,0.0,4,False,85.04,85.04,SOL/USDT,SELL,range,4.88,2026-02-22 02:15:00
LOSS,-1.0,5,False,84.98,85.20202011147266,SOL/USDT,SELL,range,3.6,2026-02-22 05:00:00
BE_WIN,0.0,10,False,85.25,85.25,SOL/USDT,SELL,range,3.92,2026-02-22 07:45:00
LOSS,-1.0,65,False,76.24,78.70543155124085,SOL/USDT,SELL,trend,3.53,2026-02-24 04:00:00
LOSS,-1.0,1,False,82.53,82.8334358666499,SOL/USDT,SELL,range,2.57,2026-03-02 08:15:00
LOSS,-1.0,2,False,83.5,83.86097595606265,SOL/USDT,SELL,range,1.58,2026-03-02 10:00:00
BE_WIN,0.0,4,False,83.88,83.88,SOL/USDT,SELL,range,3.43,2026-03-02 11:45:00
LOSS,-1.0,2,False,84.45,84.19513617875657,SOL/USDT,BUY,bounce,4.0,2026-03-07 13:00:00
LOSS,-1.0,4,False,83.03,82.6353943736355,SOL/USDT,BUY,bounce,6.18,2026-03-08 01:30:00
BE_WIN,1.39,1,False,85.32,84.98688781483622,SOL/USDT,SELL,range,1.63,2026-03-11 09:30:00
LOSS,-1.0,162,False,95.2,92.17991525133833,SOL/USDT,BUY,trend,3.61,2026-03-16 19:00:00
BE_WIN,0.0,8,False,82.69,82.69,SOL/USDT,BUY,bounce,4.91,2026-03-27 23:00:00
BE_WIN,1.5,19,False,82.7,83.26079891482561,SOL/USDT,BUY,bounce,3.82,2026-03-28 04:15:00
LOSS,-1.0,12,False,164.123,165.0369884419279,AAVE/USDT,SELL,range,1.51,2026-01-10 04:00:00
BE_WIN,0.0,3,False,165.777,165.777,AAVE/USDT,SELL,range,9.4,2026-01-10 09:45:00
BE_WIN,0.0,8,False,166.237,166.237,AAVE/USDT,SELL,range,6.64,2026-01-10 15:15:00
LOSS,-1.0,13,False,165.533,166.094151037359,AAVE/USDT,SELL,range,2.82,2026-01-11 04:45:00
BE_WIN,0.0,2,False,166.359,166.359,AAVE/USDT,SELL,range,8.15,2026-01-11 09:30:00
BE_WIN,0.0,4,False,166.994,166.994,AAVE/USDT,SELL,range,6.78,2026-01-11 13:15:00
BE_WIN,0.83,1,False,167.216,166.88056879281388,AAVE/USDT,SELL,range,8.1,2026-01-11 15:30:00
BE_WIN,0.0,2,False,165.152,165.152,AAVE/USDT,BUY,range,2.58,2026-01-13 00:15:00
BE_WIN,1.66,1,False,166.341,167.05315372236626,AAVE/USDT,BUY,range,2.28,2026-01-13 03:00:00
LOSS,-1.0,7,False,172.981,172.14132388164663,AAVE/USDT,BUY,bounce,2.63,2026-01-16 11:45:00
BE_WIN,0.82,19,False,156.936,155.69643063901137,AAVE/USDT,SELL,trend,2.11,2026-01-21 08:15:00
BE_WIN,0.0,3,False,141.123,141.123,AAVE/USDT,BUY,bounce,3.13,2026-01-30 09:30:00
LOSS,-1.0,8,False,140.027,138.29932836941475,AAVE/USDT,BUY,bounce,6.31,2026-01-30 16:00:00
BE_WIN,1.47,39,False,128.772,126.00315914072887,AAVE/USDT,SELL,trend,6.97,2026-02-01 05:00:00
BE_WIN,0.0,7,False,125.355,125.355,AAVE/USDT,SELL,trend,3.59,2026-02-02 04:45:00
BE_WIN,1.43,102,False,128.437,124.36711619891253,AAVE/USDT,SELL,trend,2.81,2026-02-02 17:30:00
BE_WIN,0.0,11,False,114.202,114.202,AAVE/USDT,SELL,trend,7.77,2026-02-06 23:00:00
BE_WIN,1.36,10,False,114.945,112.89363598722116,AAVE/USDT,SELL,trend,15.06,2026-02-07 04:30:00
BE_WIN,1.74,15,False,108.464,109.42140278107158,AAVE/USDT,BUY,bounce,12.06,2026-02-10 21:30:00
LOSS,-1.0,32,False,106.493,110.23481625202886,AAVE/USDT,SELL,trend,3.81,2026-02-11 06:00:00
