result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time
BE_WIN,0.0,56,False,251.001,251.001,AAVE/USDT,SELL,trend,2.99,2025-10-12 21:15:00
LOSS,-1.0,11,False,248.137,255.3634333517005,AAVE/USDT,SELL,trend,2.82,2025-10-13 14:15:00
LOSS,-1.0,13,False,156.853,160.14714274679704,AAVE/USDT,SELL,trend,2.99,2025-11-21 22:15:00
LOSS,-1.0,55,False,156.456,160.54527123659295,AAVE/USDT,SELL,trend,2.31,2025-11-22 08:30:00
BE_WIN,0.0,52,False,155.359,155.359,AAVE/USDT,SELL,trend,1.59,2025-12-22 15:15:00
BE_WIN,0.0,91,False,126.687,126.687,AAVE/USDT,SELL,trend,1.61,2026-02-02 20:30:00
BE_WIN,0.0,99,False,111.498,111.498,AAVE/USDT,SELL,trend,2.78,2026-02-05 15:15:00
LOSS,-1.0,29,False,105.652,110.24092489057998,AAVE/USDT,SELL,trend,2.93,2026-02-11 06:45:00
BE_WIN,1.29,7,True,125.406,126.33509902941192,AAVE/USDT,BUY,trend,2.29,2026-02-16 05:45:00
LOSS,-1.0,190,False,244.276,276.2458660387198,ZEC/USDT,SELL,trend,2.53,2025-10-13 11:15:00
LOSS,-1.0,26,False,211.454,223.64776722654096,ZEC/USDT,SELL,trend,2.02,2025-10-18 04:00:00
BE_WIN,0.0,25,False,331.214,331.214,ZEC/USDT,BUY,trend,2.24,2025-10-28 08:15:00
LOSS,-1.0,69,False,312.086,340.31144107537693,ZEC/USDT,SELL,trend,2.07,2025-10-28 19:00:00
BE_WIN,0.0,188,False,564.133,564.133,ZEC/USDT,BUY,trend,2.35,2025-11-08 17:30:00
LOSS,-1.0,20,False,466.975,488.6030764638018,ZEC/USDT,SELL,trend,1.98,2025-11-12 14:45:00
WIN,2.71,43,True,551.332,657.0,ZEC/USDT,BUY,trend,1.91,2025-11-14 14:15:00
